P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==indoor_carpet,P1_wins_proba_elo_indoor_carpet,field_type==indoor_clay,P1_wins_proba_elo_indoor_clay,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
False,0.4498846598348065,0,3410,0,0.5,0,0.5,0,0.5,1,0.4498855870720847,0,0.5,0,0.5
False,0.4153650980990845,0,2180,0,0.5,0,0.5,0,0.5,1,0.4153650980990845,0,0.5,0,0.5
False,0.6049774439002311,0,0,0,0.5,0,0.5,0,0.5,1,0.6049787747592232,0,0.5,0,0.5
True,0.4510457911330027,0,45,0,0.5,0,0.5,0,0.5,1,0.4510457911330027,0,0.5,0,0.5
False,0.5371542587721405,0,1250,0,0.5,0,0.5,0,0.5,1,0.5371542587721405,0,0.5,0,0.5
True,0.585342074210325,490,228,0,0.5,0,0.5,0,0.5,1,0.5853421830330788,0,0.5,0,0.5
True,0.4348291053613256,621,0,0,0.5,0,0.5,0,0.5,1,0.4348291053613256,0,0.5,0,0.5
False,0.5,0,0,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5
False,0.5230095872975623,0,0,0,0.5,0,0.5,0,0.5,1,0.5230095872975623,0,0.5,0,0.5
False,0.5209430280680412,0,0,0,0.5,0,0.5,0,0.5,1,0.5209430280680412,0,0.5,0,0.5
False,0.5,0,0,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5
True,0.5,0,0,0,0.5,0,0.5,0,0.5,1,0.5,0,0.5,0,0.5
True,0.6636742411682904,0,0,0,0.5,0,0.5,0,0.5,1,0.6636742411682904,0,0.5,0,0.5
False,0.5230095872975623,0,0,0,0.5,0,0.5,0,0.5,1,0.5230095872975623,0,0.5,0,0.5
False,0.49907622795807716,0,0,0,0.5,0,0.5,0,0.5,1,0.49907622795807716,0,0.5,0,0.5
True,0.5248230625100391,611,704,0,0.5,0,0.5,0,0.5,1,0.524822991677,0,0.5,0,0.5
