,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
10,Martin A.,465,457,1465.3105428664578,28,1393.2709563619064,6,1450.452201139725,3,1483.3298825921897,120,1414.6498902327507,282,1617.8059375669845,18,1420.849387309693
11,Norman M.,0,184,1666.4315317529824,24,1504.557505018344,1,1485.4359939471449,0,1500.0,84,1715.7705362111715,73,1613.3913537392339,2,1501.6253458792619
12,Petrovic D.,362,13,1445.9767096781654,1,1484.0,0,1500.0,0,1500.0,4,1464.5060144479448,4,1505.8702993238628,4,1471.9455557016283
13,Sekulov J.,0,12,1435.3607595427677,2,1465.8138921336536,0,1500.0,0,1500.0,8,1485.6513623302776,1,1485.2873465144178,1,1484.4954974252885
14,Stoltenberg J.,0,49,1548.8706463782455,3,1516.0694649951754,0,1500.0,0,1500.0,29,1512.2478210401614,10,1563.9689213113015,7,1518.2687881572035
15,Vinck C.,0,36,1406.112323287893,6,1459.1743422187428,2,1470.1715379337338,0,1500.0,10,1450.3387049968658,10,1437.2746550672355,8,1504.1583451025408
16,Clement A.,845,508,1632.8711045517496,87,1555.3861154458925,56,1518.2117289633418,0,1500.0,204,1707.8322506616578,80,1470.7618390637297,81,1602.2652938806905
17,Goldstein P.,550,165,1476.3289281095765,22,1439.9274426262816,5,1490.8568138029732,0,1500.0,95,1462.7076259075307,26,1446.0774702026997,17,1505.7434230392835
18,Haas T.,1740,691,1789.852668359991,123,1654.2705268391196,30,1616.3916326947178,3,1515.5462039900763,304,1702.250729555518,159,1625.4493401162777,72,1587.626253432501
19,Johansson T.,560,376,1793.269815278754,67,1690.0895314889526,37,1600.290080459029,0,1500.0,162,1660.9074389678751,54,1454.225079127201,56,1648.0460689439565
20,Ljubicic I.,2395,650,1756.2138986428868,140,1672.416361920092,69,1614.8586421765863,0,1500.0,234,1714.7065141220946,157,1619.6592139884074,50,1504.955503318799
21,Malisse X.,910,516,1622.470761285976,68,1434.85979223731,33,1557.2734187773033,0,1500.0,245,1582.9945430403632,91,1526.996105054326,79,1679.1098371091675
22,Massu N.,825,432,1570.0819301991942,31,1448.201737918863,17,1469.4495457546602,0,1500.0,123,1588.2853166623013,244,1727.2192344028547,17,1452.694227194453
23,Pavel A.,685,364,1662.6801985483366,46,1558.2784132095226,31,1518.1242232502161,0,1500.0,121,1586.6671307132046,131,1587.2650817504527,35,1492.8948446554791
24,Phau B.,526,211,1514.4070649304522,34,1484.6942289625747,3,1455.8738410624323,0,1500.0,103,1544.6407562110553,57,1450.4376908655847,14,1371.7730711662225
25,Rochus C.,561,320,1461.6173579644114,41,1392.5427633416089,17,1440.0581258812542,0,1500.0,87,1335.1223387944278,150,1520.1796878197056,25,1335.5735618709869
26,Tarango J.,0,44,1364.5036152015402,5,1464.0859020997464,1,1486.1468175323346,0,1500.0,17,1334.4994387105992,17,1499.200030570532,4,1474.036260658938
27,Arazi H.,0,220,1709.5979439671362,21,1505.647721567322,26,1579.2314855060904,0,1500.0,84,1616.388900659761,66,1442.900301862277,23,1552.233689193016
28,Carlsen K.,560,191,1617.7218057779949,31,1497.4216041640927,13,1510.1500112715541,0,1500.0,97,1592.129420972916,18,1387.8323357344052,32,1507.8572797586044
29,Chela J.I.,910,571,1524.6897007079465,32,1468.791485069942,12,1418.3293371450404,0,1500.0,202,1664.2407135661513,310,1644.5843685771235,15,1424.4250176350258
30,Draper S.,0,54,1527.765810650036,3,1516.2118480473805,0,1500.0,0,1500.0,32,1514.457989611177,5,1443.97054200495,14,1467.7794257411238
31,Golmard J.,0,142,1597.4705897898032,12,1511.8075964416491,6,1473.6565156989625,0,1500.0,74,1625.2240729011617,38,1575.2447216954627,12,1452.3168626326567
32,Llodra M.,390,397,1637.471320438969,95,1645.8033643832073,27,1449.5320082243752,0,1500.0,144,1416.062053315935,57,1477.266831739968,74,1569.9195178487612
33,Martin T.,0,140,1672.8429377618345,13,1510.0946951875578,0,1500.0,0,1500.0,76,1651.152401036776,28,1459.0571452232482,23,1580.1553962219427
34,Mathieu P.H.,723,561,1614.7074711503506,95,1505.0533157056338,48,1514.9975100393203,1,1484.4278483642488,155,1519.802166766053,209,1652.104661613553,53,1492.7651057475287
35,Philippoussis M.,223,222,1644.820472184994,31,1530.256448109507,11,1535.3012120047965,0,1500.0,109,1607.9069721478932,26,1519.571537970396,45,1734.400643929004
36,Rusedski G.,828,276,1630.4994706270284,38,1537.2314066943595,29,1572.6302708343578,0,1500.0,125,1607.0449286601968,26,1403.757681990424,58,1721.186689872741
37,Schalken S.,195,301,1711.6816333524682,37,1560.4150839819029,21,1532.0304413540669,0,1500.0,134,1716.9790275949738,60,1582.954887852618,49,1683.9229936527172
38,Davydenko N.,2735,794,1811.1490887215664,130,1694.1850771113927,57,1664.0123273365828,0,1500.0,286,1740.4203255140324,293,1602.929652359941,28,1445.2437848444629
39,Kim A.,0,32,1397.232617060202,1,1482.7688965266564,0,1500.0,0,1500.0,24,1421.506958434614,4,1439.3646182936739,3,1483.761755028208
40,Spadea V.,495,369,1565.1221520347406,50,1487.0587187511385,22,1477.5026540985068,0,1500.0,185,1558.7352221623785,65,1469.58738523253,47,1568.0027563459807
41,Vahaly B.,246,64,1424.293444372097,11,1471.9685370572638,0,1500.0,0,1500.0,36,1457.5863599187571,7,1435.2010194830116,10,1445.920196221288
42,Voinea A.,0,116,1467.0763564972858,14,1442.06215220191,4,1472.6434290568632,0,1500.0,39,1542.5948198501592,48,1463.1297985782176,11,1458.1381536149315
43,Zabaleta M.,94,298,1474.001443818402,14,1453.1840684139013,5,1456.7990259972883,0,1500.0,88,1494.591973037331,186,1616.8570290931682,5,1433.6900920894784
44,Dupuis A.,363,193,1459.2654735853605,26,1443.8844574659145,13,1474.1743478904355,0,1500.0,58,1499.4308594419256,57,1408.307725296862,39,1510.8590856378091
45,Mirnyi M.,695,403,1675.6239175845988,66,1611.4313174315732,49,1524.9141939468518,0,1500.0,155,1613.4048360206302,82,1451.6165800464223,51,1581.7512551724776
46,Parmar A.,152,37,1420.8986519038374,4,1503.258862538778,1,1482.8816190767036,0,1500.0,7,1438.173987204356,0,1500.0,25,1463.1684107039016
47,Verkerk M.,136,118,1578.2223531400996,6,1412.8370575249285,12,1569.0554478734323,0,1500.0,37,1506.7713578161733,54,1583.3423436393323,9,1458.557777243383
48,Vliegen K.,950,197,1541.4188408817008,29,1491.2854286589804,13,1489.6126184281732,0,1500.0,55,1412.853653846726,73,1490.724306438358,27,1450.8718869455947
49,Gasquet R.,703,978,1757.7436544750844,207,1639.1406705063146,19,1602.1160563245248,0,1500.0,371,1717.408621984395,267,1608.9057467889054,114,1646.189783185763
50,Krajicek R.,0,75,1707.1951874955555,7,1535.024072791558,5,1518.009971184516,0,1500.0,31,1619.3126828843422,13,1538.9004125481524,19,1579.8819055829135
51,Squillari F.,0,196,1514.449821816258,4,1476.2924040281243,6,1446.618924646996,0,1500.0,48,1501.4797783260428,134,1616.762490100637,4,1437.4970190370097
52,Dent T.,995,282,1653.1485803816024,51,1557.2579921843856,10,1534.935730995829,0,1500.0,153,1616.2625205973784,16,1420.2841041012732,52,1576.1542347583859
53,Beck K.,781,170,1510.1415897690358,31,1412.0791536392812,15,1546.329679647076,0,1500.0,71,1486.4012527386296,22,1338.3303973341078,31,1452.737673114105
54,Nieminen J.,1340,697,1619.6184380306986,165,1534.355267661721,30,1502.6779292455449,0,1500.0,262,1547.2708394745384,185,1624.2099254421562,55,1518.4901453018676
55,Arthurs W.,203,241,1484.4297635525272,31,1451.3479331839,5,1482.310679684713,0,1500.0,112,1514.5148208436472,44,1419.4937697374808,49,1549.727065512619
56,Sanguinetti D.,789,281,1549.8652506205426,52,1551.1494738572635,25,1399.77716071375,0,1500.0,102,1516.0001406113654,62,1455.345497960407,40,1456.007532689076
57,Lapentti N.,493,369,1608.670797502048,17,1498.0981477135394,26,1480.5815540110727,0,1500.0,125,1571.268555628934,183,1757.0924631737014,18,1478.5601381868973
58,Hrbaty D.,1003,454,1746.6186694321525,62,1627.2246186767009,46,1583.8311168697899,0,1500.0,202,1609.6648831143634,124,1475.7296794730894,20,1432.6795070249736
59,Saulnier C.,545,182,1620.194383498897,34,1496.8286407090786,22,1541.5413484220583,0,1500.0,82,1533.9215655325668,20,1400.6758748837467,24,1488.9699585917228
60,Sluiter R.,468,197,1555.090726097351,33,1505.0584401889218,9,1490.6960518226392,0,1500.0,47,1394.3942868110603,63,1514.6954015758413,45,1549.1906667798537
61,Reid T.,0,35,1480.0747478971998,1,1483.9633118722472,0,1500.0,0,1500.0,25,1495.133757638413,1,1483.9981691021048,8,1466.2258620344066
62,Melzer J.,88,630,1647.125427513106,119,1603.1219597534553,13,1468.0521140632372,0,1500.0,207,1616.4556588801252,221,1643.7774229525119,70,1620.7999222468547
63,Rochus O.,880,475,1624.1024987166677,82,1537.020443129685,24,1504.3492767770472,0,1500.0,151,1478.9307735815669,138,1501.2240136238436,80,1569.7049897390116
64,Mayer F.,768,477,1558.2134366889566,60,1454.4088579876745,8,1475.6630163139484,0,1500.0,168,1649.2041385052507,176,1689.1489480622188,65,1629.1540658048038
65,Kiefer N.,1245,400,1667.9754507828548,41,1538.8256475674405,29,1553.9552935110994,0,1500.0,201,1682.0587201242713,76,1583.471530454857,53,1553.8593662774124
66,Benneteau J.,634,560,1764.4730369567685,127,1659.3656240932394,28,1551.2895007951884,0,1500.0,222,1535.9262334733407,109,1491.885987663521,74,1516.896236515847
67,Stepanek R.,1580,640,1757.708627585933,113,1617.260650400436,37,1610.073669843985,0,1500.0,255,1614.9426566579295,163,1663.30342740234,72,1585.6869958326172
68,Johansson J.,127,121,1657.754511467417,48,1596.257274831594,6,1534.0858166080702,0,1500.0,42,1614.3552335337147,13,1395.9477304356544,12,1521.10326979142
69,Calleri A.,988,375,1529.7226248481245,26,1461.9139111130346,14,1468.6863767380078,0,1500.0,111,1565.0669692451636,210,1647.0063334099211,14,1443.9556351410845
70,Lisnard J.R.,365,89,1482.1198507297477,10,1493.4381215469925,2,1497.3663687598305,0,1500.0,36,1448.03366631446,36,1451.7103032102384,5,1466.4322491096775
71,Delic A.,461,76,1407.846239342373,6,1451.3451680127214,1,1484.0,0,1500.0,54,1464.0445353588523,7,1447.5369854478915,8,1462.7338573067354
72,Berdych T.,4620,915,1813.4914871592232,165,1674.1156917947574,21,1616.4436083141916,0,1500.0,421,1749.2465339535051,210,1744.4780825850603,98,1766.7861250490355
