,P1==Winner
33171,False
33171,True
34448,True
33184,False
33183,False
34443,False
34447,False
34448,False
33182,True
33184,True
34443,True
33183,True
33182,False
33179,False
34447,True
33179,True
33188,True
34452,True
33188,False
34457,True
34451,False
34455,True
34454,False
34451,True
34452,False
34454,True
34455,False
34457,False
34459,True
34461,False
34459,False
34461,True
33195,False
34463,False
34464,True
33195,True
34462,True
34463,True
34464,False
34462,False
34465,False
34465,True
33200,False
33200,True
35216,False
35221,False
35217,False
35224,True
35222,False
35216,True
35221,True
35222,True
35224,False
35217,True
35226,True
35232,False
35226,False
35232,True
35241,False
35253,False
35243,True
35241,True
35239,True
35253,True
35246,False
35247,True
35246,True
35243,False
35247,False
35250,False
35251,True
35234,False
35239,False
35250,True
35251,False
35234,True
35260,True
35261,False
35281,False
35292,True
35290,True
35269,True
35280,True
35271,False
35278,True
35289,False
35286,True
35280,False
35278,False
35271,True
35269,False
35281,True
35282,True
35284,True
35284,False
35260,False
35261,True
35287,False
35292,False
35290,False
35289,True
35287,True
35286,False
35282,False
35309,True
35311,True
35313,False
35314,True
35306,False
35305,True
35304,True
35303,False
35302,True
35300,True
35299,True
35296,True
35294,True
35315,False
35294,False
35311,False
35313,True
35306,True
35305,False
35304,False
35303,True
35302,False
35300,False
35296,False
35309,False
35315,True
35314,False
35299,False
35319,False
35321,True
35318,False
35322,True
35326,False
35323,False
35325,False
35326,True
35327,True
35325,True
35317,True
35324,False
35316,False
35323,True
35324,True
35327,False
35316,True
35317,False
35318,True
35319,True
35321,False
35322,False
35328,True
35332,True
35333,False
35334,False
35335,True
35328,False
35329,False
35330,False
35332,False
35333,True
35334,True
35335,False
35329,True
35330,True
35336,False
35337,True
35336,True
35337,False
35338,False
35339,True
35338,True
35339,False
35341,False
35341,True
35340,False
35340,True
35342,False
35342,True
36188,False
37665,True
37665,False
37658,True
36188,True
37662,False
37658,False
37662,True
37666,True
37667,True
37671,True
38842,True
38835,True
38836,True
38842,False
38837,True
37669,True
38836,False
37667,False
37666,False
38835,False
37669,False
38837,False
37671,False
38846,True
38846,False
36200,True
36200,False
38854,True
38856,True
38857,False
37679,False
38857,True
36202,False
37679,True
38852,True
38854,False
38856,False
36202,True
38851,True
38852,False
38851,False
38862,False
37681,True
37680,True
38859,False
37680,False
37681,False
38860,True
38862,True
38859,True
38860,False
38864,False
38864,True
38863,False
38863,True
37687,False
37687,True
37688,True
37688,False
38865,True
38865,False
41597,False
40701,False
40701,True
41597,True
40709,False
41615,True
41611,False
40706,True
40707,False
40708,False
39639,True
40710,False
41615,False
41612,True
41611,True
41612,False
40710,True
40709,True
40708,True
40707,True
40706,False
39639,False
39644,False
41624,False
41623,True
41620,True
40716,False
40712,True
40717,True
40712,False
40715,False
40715,True
41624,True
39644,True
41623,False
41620,False
40717,False
40716,True
41629,True
41628,True
41630,True
41627,True
41630,False
41628,False
41627,False
40719,True
41629,False
40719,False
39654,False
40723,False
40724,False
41635,True
40725,True
40725,False
39654,True
41635,False
40724,True
40723,True
40727,False
40728,False
40728,True
40727,True
39658,False
40729,False
40729,True
39658,True
40731,False
43889,True
43891,True
43889,False
43891,False
40731,True
43172,True
42371,True
43895,False
43899,False
42371,False
42361,True
42363,False
42366,False
42366,True
43899,True
43172,False
43895,True
42361,False
42363,True
43902,True
43903,True
43182,False
43182,True
43187,False
42374,True
42380,False
42379,True
43187,True
42380,True
42379,False
42376,True
42374,False
42376,False
43902,False
42383,True
42387,False
42383,False
42385,False
42387,True
42385,True
43903,False
42390,False
42389,False
42389,True
42390,True
42392,True
42395,False
42395,True
42392,False
42396,True
42397,True
42400,False
43911,True
43197,True
43198,False
43197,False
42397,False
43198,True
43911,False
42400,True
42396,False
42403,True
42403,False
42402,False
42401,True
42402,True
42401,False
44591,False
44590,True
44586,True
44585,True
44584,True
44584,False
44585,False
44586,False
44587,False
44590,False
44591,True
44587,True
44594,False
44594,True
44593,True
44592,False
44592,True
44593,False
44611,True
44606,False
44600,False
44599,False
44598,False
44597,False
44597,True
44598,True
44599,True
44600,True
44603,False
44603,True
44611,False
44606,True
44612,True
44614,True
44617,True
44615,False
44620,False
44627,True
44626,True
44625,False
44622,True
44630,False
44621,True
44619,False
44617,False
44615,True
44614,False
44612,False
44620,True
44619,True
44630,True
44621,False
44622,False
44625,True
44626,False
44627,False
44634,False
44636,True
44638,True
44639,True
44632,True
44634,True
44638,False
44636,False
44639,False
44632,False
44640,False
44641,False
44642,False
44640,True
44641,True
44642,True
44643,False
44643,True
45364,False
45367,False
45374,True
45373,True
45372,True
45371,False
45369,True
45367,True
45364,True
45371,True
45372,False
45373,False
45374,False
45369,False
45376,True
45389,False
45388,False
45386,True
45383,False
45392,True
45389,True
45386,False
45379,True
45378,False
45392,False
45375,False
45388,True
45383,True
45375,True
45376,False
45378,True
45379,False
45397,True
45394,False
45394,True
45393,True
45393,False
45397,False
45403,True
45399,False
45402,False
45399,True
45402,True
45403,False
45409,True
45410,False
45411,True
45412,True
45407,True
45414,True
45404,False
45416,True
45412,False
45410,True
45415,True
45416,False
45405,False
45415,False
45411,False
45414,False
45409,False
45404,True
45405,True
45407,False
45419,True
45420,True
45418,True
45420,False
45419,False
45418,False
45423,False
45422,False
45423,True
45422,True
45424,False
45425,False
45425,True
45424,True
46287,True
46287,False
46288,False
46288,True
46293,False
46293,True
46291,False
46291,True
46305,True
46305,False
47337,False
47338,False
47339,False
47341,True
47341,False
47337,True
47338,True
47339,True
47351,True
47344,False
47344,True
47343,False
47343,True
47348,False
47348,True
47351,False
47353,True
47355,False
47355,True
47356,False
47356,True
47353,False
47358,True
47360,False
47358,False
47357,False
47357,True
47360,True
47361,True
47362,False
47363,True
47364,False
47362,True
47361,False
47363,False
47364,True
47365,False
47366,True
47365,True
47366,False
47367,True
47367,False
48442,False
48442,True
48445,True
48444,False
48445,False
48447,True
48447,False
48444,True
48446,True
48451,False
48451,True
48446,False
48459,True
48458,False
48453,True
48458,True
48456,True
48456,False
48453,False
48452,True
48452,False
48459,False
48461,False
48462,False
48461,True
48463,True
48462,True
48463,False
48460,True
48460,False
48467,False
48467,True
48469,False
48470,False
48470,True
48469,True
49819,False
49820,True
49815,True
49815,False
49816,False
49817,False
49824,False
49819,True
49820,False
49824,True
49813,True
49809,True
49808,True
49816,True
49808,False
49809,False
49817,True
49813,False
49847,False
49846,True
49845,True
49843,True
49838,True
49847,True
49833,True
49832,True
49831,False
49830,False
49842,False
49846,False
49828,False
49829,True
49830,True
49831,True
49832,False
49833,False
49845,False
49838,False
49829,False
49842,True
49843,False
49828,True
49855,True
49870,False
49863,False
49849,False
49853,False
49859,True
49858,True
49851,False
49870,True
49863,True
49859,False
49858,False
49855,False
49849,True
49851,True
49853,True
49873,False
49880,False
49881,True
49877,True
49876,False
49878,True
49873,True
49874,True
49875,False
49876,True
49877,False
49878,False
49880,True
49875,True
49874,False
49871,False
49881,False
49871,True
49899,False
49897,True
49897,False
49898,False
49898,True
49892,False
49896,True
49896,False
49894,True
49890,False
49899,True
49885,False
49894,False
49887,False
49888,False
49889,True
49890,True
49885,True
49887,True
49892,True
49888,True
49889,False
49903,True
49906,True
49905,True
49907,True
49905,False
49908,True
49906,False
49907,False
49908,False
49909,False
49902,False
49909,True
49903,False
49902,True
49914,False
49915,True
49917,False
49912,False
49912,True
49914,True
49915,False
49917,True
49919,False
49919,True
49918,True
49921,True
49920,True
49918,False
49920,False
49921,False
49922,True
49924,True
49923,True
49922,False
49924,False
49923,False
49925,False
49925,True
49927,False
49929,False
49928,False
49928,True
49927,True
49929,True
49930,True
49930,False
49931,True
49932,True
49931,False
49932,False
49933,True
49933,False
54075,False
52883,True
52883,False
54075,True
52891,True
54078,False
54077,False
52891,False
54076,False
54076,True
54077,True
54078,True
51218,False
54092,True
54085,False
54085,True
51218,True
52897,False
51213,True
51214,False
51215,False
51213,False
51214,True
52897,True
51215,True
54092,False
51221,True
52904,False
52902,False
51221,False
52904,True
52902,True
52908,True
51235,True
54098,False
54097,False
51233,True
51232,True
51232,False
54097,True
54098,True
52908,False
51235,False
51233,False
52910,True
51236,True
51237,False
51237,True
51236,False
52910,False
51238,False
51238,True
56342,False
56342,True
54936,False
56344,True
56344,False
54936,True
55673,True
55675,True
54941,True
54941,False
55673,False
55675,False
55679,False
55679,True
54949,True
54947,True
55684,False
54947,False
55684,True
54949,False
56354,True
56354,False
56358,False
54953,True
54955,False
54958,True
54958,False
56358,True
54953,False
55691,True
55691,False
54955,True
56366,True
56367,False
56368,True
55692,False
