,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
34455,True,0.41292706191536577,524,725,0,0.3827460993172345,0,0.5880441889818053,0,0.4863080866017907,1,0.5764680861372009
34454,False,0.7262486299403786,422,830,0,0.3533339958256333,0,0.5115759499676289,0,0.5592520436831259,1,0.3082338147284416
34451,True,0.24418003915829312,820,443,0,0.76510181920034,0,0.7181060234484503,0,0.8981499241929615,1,0.3898488519212359
34452,False,0.6079851954389379,25,0,0,0.696088403959624,0,0.6730771575873296,0,0.3352861958300408,1,0.4447354309833196
34454,True,0.27375137005962136,830,422,0,0.6466660041743667,0,0.4884240500323711,0,0.4407479563168742,1,0.6917661852715584
34455,False,0.5870729380846342,725,524,0,0.6172539006827655,0,0.4119558110181947,0,0.5136919133982093,1,0.4235319138627991
34457,False,0.2848631231480395,0,845,0,0.6346240006788388,0,0.45905471000593057,0,0.7400752517701465,1,0.5400841258863618
34459,True,0.517417578189473,524,830,0,0.3230083722122703,0,0.6452184142282087,0,0.5676690633617795,1,0.4436649343484657
34461,False,0.3340398829116646,0,845,0,0.5369548277995535,0,0.49432740928097807,0,0.7125598321176395,1,0.5478132561361653
34459,False,0.482582421810527,830,524,0,0.6769916277877297,0,0.3547815857717913,0,0.43233093663822053,1,0.5563350656515342
34461,True,0.6659601170883354,845,0,0,0.4630451722004465,0,0.5056725907190219,0,0.2874401678823605,1,0.4521867438638347
33195,False,0.4584518203741382,263,370,0,0.27832064903057696,0,0.418742049113475,0,0.46947453500266023,1,0.5537924654342892
34463,False,0.1337733680300149,820,845,0,0.8494135809952936,0,0.6527661378241082,0,0.9127093524726579,1,0.5498349076278126
34464,True,0.3845426119274863,524,551,0,0.4753661558007864,0,0.5364468943563433,0,0.544160377555372,1,0.5991780537566966
33195,True,0.5415481796258619,370,263,0,0.721679350969423,0,0.581257950886525,0,0.5305254649973398,1,0.4462075345657109
34462,True,0.6207811270159012,551,626,0,0.5421010654207205,0,0.7787799679119914,0,0.2407457308870889,1,0.5151004056321488
34463,True,0.8662266319699851,845,820,0,0.1505864190047064,0,0.3472338621758918,0,0.0872906475273421,1,0.4501650923721873
34464,False,0.6154573880725137,551,524,0,0.5246338441992136,0,0.4635531056436567,0,0.45583962244462795,1,0.40082194624330336
34462,False,0.3792188729840989,626,551,0,0.45789893457927955,0,0.22122003208800856,0,0.7592542691129112,1,0.48489959436785124
34465,False,0.3092900394920581,524,845,0,0.568381843129502,0,0.6107315127989523,0,0.6138921185446645,1,0.607455994754604
34465,True,0.6907099605079419,845,524,0,0.4316181568704979,0,0.3892684872010476,0,0.3861078814553355,1,0.392544005245396
33200,False,0.2120421575170529,36,370,0,0.2928233255392768,0,0.7685607802238693,0,0.827279193954574,1,0.4954040483384564
33200,True,0.7879578424829471,370,36,0,0.7071766744607232,0,0.2314392197761307,0,0.1727208060454259,1,0.5045959516615436
