,Player,pts,match_count,elo
141,Kamke T.,450,163,1535.2848255025156
142,Chung H.,889,138,1664.4075556546557
143,Troicki V.,915,527,1672.3513297492896
144,Thiem D.,3895,536,1773.4815840759666
145,Dodig I.,1185,245,1630.1048528731599
146,Pouille L.,1325,260,1722.2919227896584
147,Thompson J.,896,250,1509.6149751703765
148,Ferrer D.,1290,1068,1769.606364384404
149,Edmund K.,967,233,1755.4150229468357
150,Donaldson J.,908,110,1580.8271429667864
151,Schwartzman D.,1735,442,1695.3215638574247
152,Nadal R.,5820,1254,1830.7791758254443
153,Wawrinka S.,367,881,1762.694094644182
154,de Minaur A.,1710,306,1752.008617876291
155,Harrison R.,1032,272,1538.926341769574
156,Zeballos H.,895,218,1494.0909939910985
157,Mmoh M.,464,66,1504.2127403714758
158,Kyrgios N.,1260,303,1670.4152282768039
159,Kecmanovic M.,1445,235,1561.0137652459864
160,Uchiyama Y.,158,33,1411.9540058390317
161,Medvedev D.,4065,445,1810.8660633070879
162,Bublik A.,1165,245,1606.891953225302
163,Moutet C.,777,125,1512.2792395746228
164,Bedene A.,877,291,1615.67756973884
165,Krajinovic F.,1235,240,1696.8836449374153
166,Djere L.,712,263,1491.1469051121967
167,Fucsovics M.,1097,268,1590.278545851021
168,Ilkel C.,228,20,1378.1936436845192
169,Herbert P.H.,903,206,1500.8048966670947
170,Rublev A.,3530,432,1724.8396241558717
171,Basilashvili N.,540,301,1606.0009956260633
172,Celikbilek A.,231,9,1500.8376260717291
173,Ruusuvuori E.,986,179,1612.2395726739953
174,Travaglia S.,645,82,1408.887164791729
175,Struff J.L.,978,387,1688.4152252199954
176,Lamasine T.,296,9,1473.0575359071204
177,Andreev A.,158,8,1446.5969824324302
178,Grenier H.,488,21,1468.4827941890092
179,Berrettini M.,2670,225,1769.42296825219
180,Kuhn N.,221,12,1440.0146471886019
181,Fognini F.,792,747,1587.0637782765962
182,Kuzmanov D.,323,13,1432.9885822181286
183,Kwon S.W.,617,110,1606.0499630930622
184,Monteiro T.,765,174,1450.0427097342908
185,Daniel T.,719,196,1468.346440012654
186,Gerasimov E.,255,95,1592.4070315588658
187,Ymer M.,712,130,1599.4233316336833
188,Cerundolo J.M.,630,36,1491.930851849728
189,Paul T.,1330,240,1750.4339417828353
190,Mager G.,455,59,1487.7450164540523
191,Khachanov K.,1945,408,1784.8024548673138
192,Giron M.,801,181,1639.790418518305
193,Mcdonald M.,775,212,1617.3807674715438
194,Nishioka Y.,1105,237,1608.701131374541
195,Popyrin A.,315,160,1535.8400328428058
196,Halys Q.,740,80,1407.3007890089189
197,Safiullin R.,586,67,1636.1295720059907
198,Draper J.,981,71,1696.5010704970753
199,Sinner J.,2610,266,1893.8422807563304
200,Shapovalov D.,2180,304,1766.2269683018797
201,Bautista Agut R.,1940,393,1685.8071157354345
202,Korda S.,1255,159,1738.2486381412825
203,Shevchenko A.,386,50,1556.2814464181245
204,Rune H.,1991,160,1893.0620239912876
205,Hanfmann Y.,937,120,1514.12694530588
206,Klein L.,217,11,1468.6908212401004
207,Altmaier D.,911,97,1482.8297056364593
208,Machac T.,755,30,1532.018782790308
209,Kubler J.,538,58,1509.7913350294036
210,Arnaldi M.,1000,42,1610.9955570728173
211,Hijikata R.,744,38,1539.1553438699264
212,Humbert U.,595,204,1709.6963300232853
213,Agenor R.,0,26,1363.960458975304
214,Behrend T.,506,109,1493.1344629584285
215,Damm M.,0,42,1426.345010243657
216,Delgado J.,153,37,1379.7182179013994
217,Hantschk M.,0,58,1421.242913014822
218,Jonsson F.,0,22,1355.22189443629
219,Ketola T.,0,19,1451.4581355728849
220,Manta L.,0,16,1423.2784535922913
221,Paes L.,0,14,1427.8729566576667
222,Pioline C.,0,116,1498.7711589375895
223,Stanoytchev O.,0,28,1353.9041042199035
224,Tabara M.,381,79,1468.2108420453699
225,Vanek J.,418,184,1385.6729834288692
226,Vinciguerra A.,294,153,1625.8157854667252
227,Black B.,0,76,1523.3403618734662
228,Kempes E.,0,24,1439.3733822663746
229,Pless K.,396,121,1507.3088236008643
230,Sanchez D.,302,202,1470.2353743214644
231,Stoliarov A.,0,87,1435.8954280296916
232,Wessels P.,101,66,1503.0843742638733
233,Youzhny M.,1445,877,1739.5371051411294
234,Calatrava A.,219,135,1523.3586695318968
235,Canas G.,1678,365,1714.5197916221355
236,Galvani S.,256,51,1422.355102666875
237,Kucera K.,292,172,1639.0310212521456
238,Labadze I.,292,118,1410.898514876568
239,Okun N.,51,62,1428.5278167135095
240,Santoro F.,755,433,1626.5963159054224
241,Srichaphan P.,760,379,1761.0239426781397
242,van Scheppingen D.,227,47,1485.0829185950372
243,Krajan Z.,23,33,1401.2766311739595
244,Portas A.,348,220,1469.1877045403537
245,Sargsian S.,394,218,1624.079077082798
246,Schuettler R.,399,548,1682.249521258711
247,Mamiit C.,72,95,1429.0613241927554
248,Montanes A.,690,544,1489.8339996645327
249,van Lottum J.,48,68,1434.8176323609339
250,Amritraj P.,127,35,1442.0255452770173
251,Knowle J.,0,39,1341.4627096870843
252,Moya C.,1620,565,1696.721122897509
253,Mantilla F.,410,240,1598.079337031853
254,Ascione T.,304,73,1373.8395224637084
255,Patience O.,424,79,1395.5494138753006
256,Gimelstob J.,40,152,1464.2029948651145
257,Heuberger I.,217,80,1436.5016231741945
258,Garcia A.,251,34,1399.3007974984905
259,Garcia-Lopez G.,645,652,1460.8131032148488
260,Lu Y.H.,1003,354,1531.0233693803664
261,Kim K.,429,138,1406.201790130656
262,Zib T.,300,126,1451.4590449683503
263,Bjorkman J.,723,361,1613.6167695537142
264,Devilder N.,657,70,1403.744578110349
265,Bopanna R.,150,21,1424.6417252014328
266,Koubek S.,640,360,1633.7396539227566
267,Rastogi K.,94,5,1458.3504191753234
268,Roger-Vasselin E.,385,208,1511.0676002676855
269,Eschauer W.,568,52,1398.8196440942959
270,Haase R.,1020,458,1562.9028519888022
271,Zovko L.,51,8,1468.8729108107543
272,Ram R.,563,150,1384.4085023536052
273,Kudryavtsev A.,176,20,1415.6119421153962
274,Greul S.,508,116,1504.8964308650225
275,Sela D.,710,289,1563.8691952879497
276,Dlouhy L.,390,67,1417.378788484485
277,Granollers-Pujol M.,619,447,1637.032361126579
278,Beck A.,1066,100,1505.845293157043
279,Devvarman S.,43,115,1440.5992745839446
280,Minar I.,529,96,1438.2575663522573
281,Tipsarevic J.,582,486,1609.6858602928598
282,Cipolla F.,596,101,1495.0786440583327
283,Hajek J.,507,98,1404.0580106047585
284,de Bakker T.,985,134,1519.0334166137368
285,Ginepri R.,725,379,1687.0594488931763
286,Lacko L.,697,215,1447.6060817468608
287,Robert S.,926,113,1470.5267244810143
288,Kendrick R.,603,112,1453.193246569359
289,Sugita Y.,1219,129,1516.1256647041291
290,Kavcic B.,524,120,1412.0684361230624
291,Bhambri Y.,372,40,1461.3752594478572
292,Paire B.,910,529,1532.6648510237726
293,Hanescu V.,853,412,1490.4776974902045
294,Darcis S.,693,214,1586.614227837965
295,Soeda G.,772,105,1399.904179469529
296,Almagro N.,895,657,1578.6224840172
297,Bachinger M.,191,86,1524.635266201604
298,Stebe C-M.,295,2,1503.8714501169354
299,Bautista R.,1525,224,1697.9245585064168
300,Stakhovsky S.,187,339,1577.5943401023806
301,Vesely J.,1092,293,1476.7901212678182
302,Pospisil V.,530,281,1627.006321817662
303,Ramanathan R.,164,40,1448.6917203885737
304,Haider-Maurer A.,775,113,1458.0490786775933
305,Coric B.,1675,357,1705.0866477509003
306,Ymer E.,437,84,1447.3463598957815
307,Carreno-Busta P.,719,108,1513.1611063677926
308,Gojowczyk P.,881,172,1574.8162340832198
309,Pavic A.,42,13,1413.2787685443145
310,Krajicek A.,450,36,1470.5906063946281
311,Rosol L.,737,259,1558.2701757756602
312,Vanni L.,334,23,1374.83825601527
313,Fabbiano T.,699,89,1419.4198816144226
314,Kovalik J.,513,68,1457.2576953438179
315,Olivo R.,336,55,1486.1238719022458
316,Dutra da Silva R.,110,82,1423.9208674337976
317,Ramos-Vinolas A.,1085,446,1533.5627201925229
318,Tsitsipas S.,5350,423,1846.1019034143408
319,Basic M.,729,50,1520.2364992365606
320,Pella G.,792,261,1523.7096735398404
321,Jarry N.,1110,166,1594.7463172624807
322,Marterer M.,786,100,1414.3954208927946
323,Cecchinato M.,1829,206,1432.1458726068588
324,Lajovic D.,1286,400,1513.8335376657558
325,Cuevas P.,1280,423,1533.2986495612015
326,Evans D.,1585,268,1643.8542282087728
327,Harris L.,1658,136,1609.1169026820146
328,Bolt A.,165,44,1457.0799936158883
329,Carreno Busta P.,2450,352,1681.6768354942653
330,Auger-Aliassime F.,3995,295,1816.518129539351
331,Harrison C.,35,15,1485.5689654989305
332,Galan D.E.,712,90,1484.3020244536315
333,Quiroz R.,232,6,1495.3463837774807
334,Fratangelo B.,418,62,1493.11027498904
335,Norrie C.,2490,310,1631.6196701348679
336,Tiafoe F.,1920,326,1680.6259754934065
337,Isner J.,960,760,1724.4747299457936
338,Hurkacz H.,3220,275,1732.3547265265706
339,Bagnis F.,952,126,1429.401217150161
340,Van De Zandschulp B.,1195,138,1641.8324977305278
341,Griekspoor T.,738,120,1558.8747269871105
342,Laaksonen H.,315,101,1510.6512710546608
343,Molcan A.,987,87,1582.2883732952996
344,Cressy M.,1254,98,1564.6577490777966
345,Munar J.,839,189,1460.8038001101545
346,Bonzi B.,781,95,1475.5080266294485
347,Carballes Baena R.,816,221,1543.0605031254865
348,van Rijthoven T.,493,19,1528.5455521972956
349,Martinez P.,810,120,1528.14553248727
350,Karatsev A.,795,152,1547.0812654935319
351,Cobolli F.,328,24,1493.6183706447603
352,Shang J.,397,23,1437.4671011351027
353,Kotov P.,721,46,1575.5493151055468
354,Broady L.,314,50,1537.971275480372
355,Ofner S.,414,59,1585.3331706480299
356,Huesler M.A.,784,64,1528.3558995170097
357,Fils A.,164,48,1593.8075975809986
358,Musetti L.,1746,168,1662.4418178039928
359,Bastl G.,271,114,1472.61638490028
360,Berasategui A.,0,19,1385.9245508912193
361,Caratti C.,0,13,1386.2921902810558
362,Cherkasov A.,0,4,1476.8092774443226
363,El-Aynaoui Y.,99,279,1633.2099202761758
364,Gaudio G.,1850,418,1577.3194327836707
365,Marin J.A.,278,81,1414.2589451441686
366,Tillstrom M.,0,31,1512.5523979653385
367,Vacek D.,0,29,1396.9077875225105
368,Boutter J.,0,138,1588.7269719790145
369,di Pasquale A.,0,90,1423.1267290888925
370,Kafelnikov Y.,0,291,1804.3168997431223
371,Pozzi G.,0,78,1510.5563753406939
372,Rios M.,0,163,1725.5581941723249
373,Rosset M.,0,138,1553.1278132887842
374,Ulihrach B.,92,192,1594.4436259066645
375,Vicente F.,420,248,1420.4240943523105
376,Voltchkov V.,0,105,1623.1725141071515
377,Ivanisevic G.,0,109,1592.7216190099866
378,Novak J.,725,364,1700.300414586217
379,Ogorodov O.,0,12,1473.5331481204992
380,Hantschek M.,0,2,1501.3011373706433
381,Costa A.,410,272,1621.831829670931
382,Kratochvil M.,1,159,1568.1023190721596
383,Lee H.T.,771,267,1554.4337154757054
384,Vico U.,141,7,1479.679595693489
385,Lopez M.,20,52,1537.6213545989115
386,Chiudinelli M.,117,129,1466.9538641277748
387,Moodie W.,325,110,1598.552828248202
388,Volandri F.,721,382,1452.2804467053134
389,Vik R.,489,55,1499.1225536628847
390,Starace P.,937,334,1504.6833212756815
391,Tursunov D.,1175,438,1623.1662922324942
392,Ramirez-Hidalgo R.,738,185,1466.411793374024
393,Luzzi F.,292,44,1446.6383293281956
394,Peya A.,132,63,1424.7830942873188
395,Marchenko I.,749,132,1513.5901951186543
396,Bubka S.,344,17,1450.930492172751
397,Gabashvili T.,344,304,1453.9110706602016
398,Veic A.,245,32,1409.1961593358349
399,Ramos A.,830,148,1485.8868028872907
400,Bogomolov Jr.A.,1170,169,1604.5804203052803
401,Gremelmayr D.,538,87,1426.8309394887556
402,Zemlja G.,660,64,1559.8549204683643
403,Bolelli S.,873,269,1528.3290049570328
404,Lorenzi P.,1130,284,1509.294300127325
405,Safwat M.,324,14,1399.862407206656
406,Brands D.,307,151,1546.3590231849678
407,Brown D.,722,159,1532.3640209606504
408,Souza J.,576,72,1386.2390015179162
409,Dzumhur D.,940,234,1641.732532896991
410,Munoz de la Nava D.,423,37,1378.3405759621642
411,Kuznetsov An.,970,163,1524.255308109991
412,Andujar P.,895,404,1463.0412519795252
413,Mayer L.,1125,360,1494.3008533288978
414,de Greef A.,475,8,1489.0172064105575
415,Melzer G.,728,46,1411.1417676637907
416,Ojeda Lara R.,287,6,1504.3104647924124
417,Ivashka I.,730,161,1640.1181973603464
418,Donskoy E.,686,162,1471.3585072683272
419,Jaziri M.,923,217,1543.3266734358142
420,Sandgren T.,838,122,1560.2865723336138
421,Vukic A.,927,53,1515.7611060701925
422,Majchrzak K.,610,50,1511.7132027389587
423,O Connell C.,790,83,1518.7632197846258
424,Purcell M.,1002,56,1494.9988754861952
425,Caruso S.,330,63,1464.31993578893
426,Sweeny D.,214,6,1477.5472037017105
427,Alcaraz C.,6730,199,1888.284754119677
428,Torpegaard M.,291,4,1463.9620423373258
429,Vilella Martinez M.,446,10,1488.406381862602
430,Stebe C.M.,230,76,1510.4298849578267
431,Opelka R.,1203,168,1668.4365816591048
432,Rinderknech A.,997,111,1627.2467964969337
433,Davidovich Fokina A.,1300,190,1556.2862034882864
434,Sonego L.,935,243,1543.639052315874
435,Lehecka J.,694,87,1540.0736064712603
436,Balcells J.,0,78,1524.3346252838853
437,Chang M.,0,141,1617.738798344427
438,Ferrero J.C.,1425,687,1660.3533384916855
439,Gustafsson M.,0,68,1588.158480654504
440,Sell M.,0,2,1504.915070754846
441,Clavet F.,0,147,1450.9746667885508
442,Martelli M.,0,5,1481.613997545038
443,Medvedev A.,0,62,1566.7731283638905
444,Weiner G.,192,30,1404.54282525
445,Elseneer G.,229,38,1426.0318637425407
446,Nalbandian D.,2195,541,1927.286658316579
447,Nielsen M.,105,9,1414.9506939050732
448,Safin M.,890,544,1853.850772776176
449,Coria G.,2190,324,1674.6828874017892
450,Gonzalez F.,1690,520,1707.4021898001465
451,Kuerten G.,85,308,1740.0915862767731
452,Carraz G.,264,82,1552.5290481468237
453,Hemmes F.,0,4,1476.2315403572766
454,Hernych J.,459,194,1488.7697198842116
455,Mello R.,398,137,1541.239944233245
456,Bracciali D.,566,80,1523.056489385457
457,Monaco J.,1385,582,1686.6831289940408
458,Roitman S.,412,87,1399.4831176546304
459,Reynolds B.,527,100,1393.3901580540555
460,Statham J.,56,8,1443.4374310010694
461,Lammer M.,161,22,1433.7975563807447
462,Mannarino A.,991,598,1633.8038972723089
463,Berlocq C.,800,312,1499.9049314054269
464,Baker B.,762,59,1439.1113730523275
465,Sijsling I.,713,133,1508.0731797215901
466,Jones G.,252,7,1434.7632546179996
467,Levine J.,662,93,1477.8420914295593
468,Sock J.,2765,324,1814.4634805262963
469,Young D.,865,312,1533.843358556717
470,Klahn B.,575,56,1455.3777538675683
471,de Schepper K.,532,88,1404.908272974241
472,Venus M.,127,11,1399.4670207807571
473,Barton M.,212,8,1527.914770237398
474,Klein B.,214,13,1413.7974314938015
475,Sousa J.,1017,436,1589.7657320548865
476,Fritz T.,2955,384,1689.9692855196442
477,Barrere G.,698,93,1487.451958467545
478,Polmans M.,410,22,1436.0394641854416
479,Garin C.,615,201,1581.6259188770478
480,Delbonis F.,960,340,1394.202666066854
481,Tabilo A.,741,53,1510.900982374816
482,Zverev A.,5085,544,1874.8548264932049
483,Coria F.,950,109,1537.413503009269
484,Sousa P.,528,36,1363.6271105278133
485,Bourchier H.,138,2,1503.9929587046695
486,Harris A.,251,3,1489.4434867624466
487,Baez S.,1057,127,1573.303009207009
488,Nakashima B.,937,116,1673.6983390423977
489,Lestienne C.,689,51,1465.2560672658815
490,Brooksby J.,945,79,1665.9760937420676
491,Wolf J.J.,840,90,1579.9160103482602
492,Eubanks C.,1323,78,1451.2701452408792
493,Shelton B.,2355,65,1683.9428787870938
494,Van Assche L.,755,35,1496.3079356138212
495,Muller A.,711,36,1458.385982624286
496,Borges N.,573,48,1477.9220479983614
497,Marozsan F.,815,27,1621.7184192613854
498,Corretja A.,0,240,1631.052422529534
499,Ilie A.,0,104,1438.9372209245705
500,Woodbridge T.,0,20,1475.2387131306616
501,Ferreira W.,0,211,1635.8346357170287
502,Kucera V.,0,2,1506.2183104306368
503,Healey N.,205,18,1432.1193104204008
504,Gil F.,669,115,1449.0947759243293
505,Sweeting R.,690,89,1421.7395150093687
506,Janowicz J.,2150,164,1686.9787307962933
507,Sarkissian A.,234,6,1467.0557873516152
508,Elias G.,801,67,1493.2485416105153
509,Andreozzi G.,498,39,1455.2591696909658
510,Balazs A.,182,34,1539.8724246282936
511,Taberner C.,432,37,1460.308269970283
512,Cachin P.,846,59,1524.0724800855971
513,Londero J.I.,1017,83,1480.940078183578
514,Koepfer D.,1015,96,1560.4015813763385
515,Albot R.,1022,220,1517.131260443761
516,Ruud C.,5020,328,1666.9830208620376
517,Kozlov S.,87,35,1374.462365633946
