,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
101,Odesnik W.,581,99,1496.797106743103,8,1471.9967600197378,0,1500.0,0,1500.0,55,1447.3562137093525,31,1582.119710712009,5,1424.0749472813623
102,Gicquel M.,733,205,1660.925700808268,38,1502.8933981261248,21,1537.6866658049312,0,1500.0,61,1519.1080442197472,59,1516.566392863083,26,1476.6303868788018
103,Falla A.,794,254,1471.1935839042646,29,1416.7892178008556,5,1521.8624547609372,0,1500.0,119,1397.8947685616556,61,1471.9809716333007,40,1446.487648750241
104,Levy H.,210,119,1420.7435771440328,10,1425.3746492438054,5,1454.30041501798,0,1500.0,58,1453.6332240054198,30,1433.6590733066162,16,1465.5719312952426
105,Bellucci T.,1080,380,1582.9312745600514,33,1528.099961022047,0,1500.0,13,1483.3114257713678,120,1458.0148609616338,197,1636.0351526218099,17,1458.5785385025433
106,Roddick A.,2315,773,1809.080744531628,126,1694.3122426553255,36,1632.421053174714,0,1500.0,412,1815.8051993042825,96,1604.8093634554893,103,1767.2998375989896
107,Dolgopolov O.,1110,412,1571.063869685643,48,1456.7313779104948,0,1500.0,0,1500.0,201,1676.5604383947789,120,1616.2353761571158,43,1572.789785402567
108,Baghdatis M.,1115,596,1705.1764383064356,113,1568.1137967280324,22,1617.2537440513074,0,1500.0,288,1622.806785411271,81,1456.2634854172745,92,1599.7434420527877
109,Ball C.,222,20,1516.9541640702134,0,1500.0,0,1500.0,0,1500.0,16,1517.8449035637127,2,1502.6533600017187,2,1465.0453843644138
110,Ebden M.,1125,203,1535.0549917529718,31,1450.8604870291927,0,1500.0,0,1500.0,109,1545.115865528084,18,1358.0603040244778,45,1518.3837773067442
111,Monfils G.,3625,845,1735.1737770442196,196,1662.9212870876174,12,1529.4057440228426,1,1483.4710901807769,345,1716.761703799098,218,1703.6008461012652,73,1631.0107884335343
112,Lopez F.,770,972,1639.2719244783443,145,1504.1485756483112,30,1526.1010122173382,0,1500.0,394,1706.680096270277,264,1644.7932540452402,139,1601.8864835169447
113,Istomin D.,965,440,1503.6319684964387,92,1444.4823446025182,3,1481.3712915259955,0,1500.0,171,1542.065534107188,107,1543.8013639643214,67,1519.7373044475971
114,Berrer M.,960,231,1506.7535787916636,61,1476.0453917707962,8,1512.2103162129592,0,1500.0,88,1387.5896928451577,50,1436.2792315880797,24,1419.4739403936035
115,Kubot L.,372,200,1471.2319472308757,34,1482.8540809502078,1,1483.3926878838479,0,1500.0,60,1371.7665867101166,81,1496.4913799778108,24,1553.342104464073
116,Giraldo S.,751,326,1510.3369431537749,25,1441.2756774603229,1,1483.4435542052877,9,1488.8824532265446,120,1502.558275827589,142,1530.3466454322938,29,1495.6985494461167
117,Anderson K.,4310,598,1784.866637589408,86,1680.9534371351904,0,1500.0,0,1500.0,323,1691.992765388181,113,1640.210411380434,76,1738.991995996276
